reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
ARXL1MF07FKY3,9790794231,Yvonne Trevino,"[0, 0]",Love the way this parfum smells.  It is the best and this is the best deal on amazon.  This is the only place I will buy parfume from.,5.0,SMELLS WONDERFUL,1392163200,"02 12, 2014"
AVM6OR01CPJNQ,B00004TMFE,AM,"[0, 1]","We were pretty disappointed with this shampoo and conditioner. Had high hopes for it, and it did not deliver.The smell was okay.It was harsh and stripping on the hair follicles.Left our hair with that squeaky clean feeling, but not in a good way, more in a removed all the oil from your hair kinda away.Even in using the conditioner, my hair still looked frizzy. And I do not have frizzy hair! Mine is fine, thin, and straight. If anything I usually border on having my hair be too silky and need things to volumize it.Just cannot recommend this product.",2.0,Not impressed,1365724800,"04 12, 2013"
A1ISPXMZL1IYSE,B00004TMFE,Bernadette Foster,"[0, 1]",I washed and conditioned 1 a week but didn't see much difference. No thickening. May work for thinning but I have actual loss of hair.,2.0,Didn't see results,1358726400,"01 21, 2013"
A16NAH39LN211W,B00004TMFE,Blondie,"[2, 3]","My hair is fine like a baby's and rather thin.  This conditioner gives it fullness and thickness I've never had before.  I will be buying more.Update 4/17/14:  I was about to purchase another bottle of this for someone else and noticed the price has more than doubled since I first purchased it a month or two ago.  I will NOT be buying more, and I'm outraged!  It's good, but NOT worth $20+ !",5.0,Really good stuff,1395446400,"03 22, 2014"
A34M18U6T33YDZ,B00004TMFE,Brenda J. Coffin,"[0, 0]",Another great product.  Just love this Biotin B-complex thickening conditioner.  It really helps the hair to look fuller and to grow.,5.0,Biotin B-complex thickening conditioner,1396828800,"04 7, 2014"
A8TWSBLUYJR0U,B00004TMFE,carra,"[0, 0]",best conditioner ever- better than most shampoos and conditioners (salon brand included) out there in the market. Love the aveda-ish ajurvedic smell. Highly recommended.,5.0,LOVE THIS BRAND!~,1385164800,"11 23, 2013"
A149N75TZ34CE5,B00004TMFE,"Chi Le ""CL""","[0, 0]","Please avoid this product. The conditional is so thick that it does not flow out when you want to use it. As for quality, it is horrible. It makes your hair sticky as if you haven't rinsed your hair for days. I don't see any good using it. I finally use Dove that I bought at Costco. It is cheaper and make your hair soft and weightless as well.",1.0,Bad product,1373760000,"07 14, 2013"
AUJZEJ5KJU6OQ,B00004TMFE,"Debra Carr ""Peace and Good Health""","[0, 0]","I have thin fine hair and I am always searching for the ""miracle"" to a beautiful head of hair.  This is not it.  It may be organic and have less surfactants but, it's the thinnest shampoo I've ever used.  Can't get it from bottle to hand to head without losing it down the drain.  Stupid purchase.  Oh well, next time.",1.0,GULLIBLE,1344729600,"08 12, 2012"
A2EVBQAN92IEZS,B00004TMFE,Fati1981,"[3, 3]","Rather than leaving my hair softer and more manageable (which is a conditioner's most basic function), this conditioner left a noticeable, waxy residue in my hair. I wonder if this gross waxy film is what makes your hair feel ""thicker and fuller"". It does not glide on to hair very smoothly and smells like Pine Sol. Major disappointment. I won't be ordering this again and I would hesitate to try any other hair products offered by this company.",1.0,Doesn't live up to its promises,1379030400,"09 13, 2013"
A2VOGNBUMXSW13,B00004TMFE,"Hon Lee ""Bao Tao""","[0, 1]","I BOUGHT THIS Avalon Organics: Biotin B Complex Thickening Conditioner, 14 oz AND THE SHAMPOO AND USED IT DURING THE WHOLE 2012 AND NOT ONLY DID NOT THICKENED MY HAIR BUT IT MADE IT VERY DRIED.",2.0,DRIED MY HAIR,1357516800,"01 7, 2013"
A2SPAROS5PSI8X,B00004TMFE,isthisvick,"[0, 0]","So i have been using the Avalon Organics both Shampoo and Conditioner for a few months now. I have seen a pretty good result. My hair has definitely gotten a bit thicker and stronger. I notice less hair falling out. I have combined this shampoo/conditioner with also taking Biotin Supplements so i do not know if its solely because of the shampoo/conditioner or a combination between the both, but improvement is there. My only one complain is that the conditioner doesnt give you that soft conditioner feel other conditioners give you.. Its a little rough as oppose to soft. In conclusion, if you have thin hair i recommend both products as well to supplement with a daily Biotin vitamin.",4.0,5 months after.. Good improvement!,1337904000,"05 25, 2012"
A22PKZZK5DSONS,B00004TMFE,Jeremy C,"[0, 0]","I have changed an earlier review on this product. My fault, I was a newbie to the reviewer world and I failed to realize the importance of tried and true testing. 160 reviews later I get it. It took 3 different products and a very specific combination of products to achieve the texture that I was looking for.Me - 28 this month. V shaped hairline. Hairstyle - long enough to run a comb through, usually let it grow for 1.5 months then cut back.The Biotin B-Complex conditioner is a daily counterbalance to the Biotin Shampoo. The Shampoo is harsh but effective. It leaves my hair feeling like a brillo pad and the conditioner helps break that apart. When used together the signs of balding are significantly reduced (seeing your scalp through the hair). Also, my hairstyle is a lot easier and fuller looking (messy and pushed up in the front).Even with the combination I found my hair needing a break from the two. I use Organix Coconut milk conditioner once a week to soften my hair. This is an extremely effective break.The proportions I use suit my taste. The appearance of thickness is all I really care about. I know i'll go bald eventually which is why i'm putting the work in the gym now. You have to be in shape if you're bald :)",4.0,Gives the appearance of thicker hair.,1356393600,"12 25, 2012"
AX1567KGMAVLT,B00004TMFE,jjjjordan,"[7, 8]","With the inevitable hormonal changes, my hair started falling out.... A LOT.  This line of shampoo and conditioner was one of the ways I began to tackle this problem.I really, really, really like everything about it... the no chemicals, the smell, the texture, the price, oh and IT WORKS!I highly recommend.",5.0,very surprised how much I love this,1300060800,"03 14, 2011"
AQX8T9SFFK43U,B00004TMFE,Kristina Montes,"[3, 4]","6/8/2013, first review: I thought to review this product as time goes on. I've only been using it for a week, so I do not expect to see hair growth at this point.  It's good to note that I'm 42 years old, w/disturbing hair loss.The bottles are SMALL so I'm not using it carelessly. The smell is not flowery & fun, but it's more medicinal in scent, not overpowering. The shampoo lathers if you work at it, & it's a low lather rather than a high and luffy one. I rub it gently on my scalp & throughout my hair. If scrub too hard, I'll lose MORE HAIR. :( I am washing my hair every day, where I used to wash every other day. The conditioner does not lather.  It's more of a cream that I rub gently onto wet hair. My hair feels sort of weighty as I wash it & I think that I'm going to have a BAD HAIR DAY ahead of me, but after styling, it's actually soft, manageable, not weighty! After washing, I wrap in a towel for about 5 minutes, apply FINESSE styling mousse, let my brown curls air dry. Sometimes a touch of hairspray but most days, not. With the thick feel in the shower, I am surprised that it's not weighted down after styling. SO, I'll keep on trying this for 3 months. I'll try to remember to update if I see a difference. Feel free to ask me questions.**IT'S IMPORTANT TO MENTION THAT ALONG W/THE SHAMPOO & CONDITIONER, I'M TAKING, MAXI HAIR SUPPLEMENTS.  My Dr. was pleased w/the ingredients of the shamp, cond AND supplements. I use the supplements in place of a multi so I also take OMEGA 3 & Calcium Citrate w/ D3. (As per Dr).**6/27/2013 - Although there is NO new hair growth, I've noticed that I'M LOSING LESS HAIR when I wash & style!  It's enough for me to notice & enough for me to keep going w/ this trial. 19 days in, w/ consistent use of shamp/cond & Maxi Hair, my hair is smoother, softer, shinier stronger, doesn't have a bad smell, still not weighty & continues to be manageable. I feel like whatever residue was clogging my hair is out. My hope is that this is the case for my scalp & maybe, just maybe, I'll see some new sprouts. A girl can dream. :)6/30/2013 - Could it be?  New hair?  Will keep you posted.  I see three short hairs poking through!  I should also note that my nails need to be trimmed more often than ever, and I have to shave, (legs, underarms), more frequently!  I suspect this would be from the internal good I'm getting from the Maxi-Hair supplement.7/21/2013 - YES!  Still losing less hair, AND there IS new hair growth in little stray spots.  My nails, which I keep short, need to be cut once every week to 10 days as opposed to once every 3 or more weeks!  I rcvd two complements on my hair this past week, about how shiny &healthy; it looks!  I remain faithful to the products, using them EVERY DAY as recommended.9/21/13 - IMPORTANT UPDATE.  It seems that with months of use, this product is GREAT for clearing up any residue on my scalp, BUT it is drying out my hair.  I have to rotate my use of this and the conditioner.  It's stripping the oils from my hair.  I will still use the shampoo and conditioner, but may just use it once a week.  WIll keep updating.  I did notice that for the past two weeks, when I use the products, my scalp gets just a little itchy.  That also indicates to me that the residue blocking my pores may be cleared up!  That is the good part!  SO, I will be using the MAXI HAIR daily as bottle recommends, but will limit the use of the shampoo and conditioner.",4.0,Losing less hair!  See detailed review.,1370649600,"06 8, 2013"
A2ZQE4X9GYJMRI,B00004TMFE,Meno,"[0, 0]",I bought this along with the shampoo because my previous shampoo was making my hair fall. After some months of usage I can't say for sure if it thickened my hair but at least it helped stop the loss. It leaves my hair very manageable as well. This conditioner is very thick and it didn't take a lot to detangle my hair. Will buy again.,5.0,Helped with hair loss,1324339200,"12 20, 2011"
A38VDDNZ7A3QM0,B00004TMFE,rey,"[0, 0]",I love it. Will buy again! although it is a bit drying. it might not be a good everyday use.,5.0,will purchase again,1386028800,"12 3, 2013"
AIBDCIWC061A,B00004TMFE,Sashin,"[0, 0]",I got this conditioner to go with the shampoo they make.  I do like the fragrance.  Fresh.  This conditioner does not make my hair smooth enough to get my tangle out.  I use it first and then use a bit of my usual conditioner so that I am not tearing out my highlights after washing.  I did notice a bit of thickening of my hair shafts.  My hair did seem a bit fuller.,4.0,It's ok,1378425600,"09 6, 2013"
A2CHSTCUTAY1P6,B00004TMFE,S. L. Mills,"[1, 2]","Product dried out my hair. I was disappointed since this is organic. I expected it to be better. But, Pantene works better than this and does not dry my hair out. Smell was ok. It was not overwhelming, but it did not smell great either. It did make my hair look thicker, but dried out.",2.0,Dries out my hair,1341792000,"07 9, 2012"
A1S8KORSO7AL10,B00004TMFE,S. TIERNAN,"[8, 10]","This stuff makes your hair feel thicker after using it and overall is a good product. I have been using it for about 6 months and have not seen any hair-loss prevention or any hair growth what so ever. It is very reasonably priced and does leave my hair feeling thicker and better looking than other shampoos i've tried. I do think it promotes your hair to produce more oils though, it is pretty potent. After about 12-14 hours my forehead and scalp seem more oily than in the past since using this product, but nothing terrible or alarming.The smell could be better. It doesn't necessarily smell bad, but it kinda smells like lemony dish soap or like dial hand soap--like some commercial bathroom product--But you gotta hand it to them, it smells pretty damn good for a product having Saw Palmetto berries in it--in case you were unaware, saw palmetto extract and berries smell like pure vomit and death...lol! Don't worry you can't smell the saw palmetto at all. It is not strong scented, you'll just have a light fragrance of some industrial lemon-like handsoap while washing your hair.For the price, it's definitely worth it to at least try.",3.0,it's alright.,1296518400,"02 1, 2011"
A2X0X13NTPOZN1,B00004TMFE,"that_enigma ""Exotica""","[0, 0]","I can't say that I noticed any difference  with thickening between this conditioner and any other that I used, but it's a good conditioner.  It has a good texture and consistency and does moisturize and make the hair feel stronger.  However, I can't say that I noticed any thickening.  My four stars is based solely on the fact that it's a good conditioner and not that it created extra thickness.",4.0,No noticeable difference,1392595200,"02 17, 2014"
A66XG9X8S7IH,B00004TMFE,Victor,"[0, 0]",This is a nice finishing touch to your bath. I think it leaves my hair feeling fresh and clean. I still haven't noticed the thickening effect it promises but I think I still can wait a month more for it.,4.0,Nice conditioner.,1335398400,"04 26, 2012"
A1ACH77RG6C8MN,B00004TMFE,VirtualGrace,"[0, 0]","I was so very disappointed with my purchase of the Avalon Thickening shampoo and conditioner. I had such high hopes, but in only two shampooings, my hair was noticeably stripped of oils, had that &#34;squeaky clean&#34; feeling you get when using a very harsh product, and it became dry and brittle. It started looking very dull. They use many products that have an oil stripping effect on the hair, like orange oil and lemon oil. You might think because it says, 'oil' that it might add to your hair's shine, but these are ingredients in industrial strength degreasers. This product only damaged my hair. Avalon is only 70% organic and it had a rather unpleasant smell to me. Rather like mosquito repellant or dish soap. Using a harsh product like this is very detrimental for your hair. I know that a lot of people will be drawn to Avalon because of the low price, but if it drastically stripped my extremely oily hair in two shampoos, I can't imagine what it might do to yours. Although my hair is very fine, so perhaps ethnic girls, and women with coarser hair might benefit? I honestly wouldn't recommend it. I'd rather see people get something that will improve their self-esteem immediately, rather than give them new problems to worry about.In desperation I purchased the more expensive Just Naturals system for thinning hair and believe me, it blows Avalon out of the water. In just one shampoo my hair regained it's texture and became so silky it felt like Asian hair. I can't stop touching my hair now and I feel so much more confident. They use incredible ingredients that greatly benefit people with hair loss due to hormonal issues, or who have an increase in DHT. You do pay more than double for that shampoo, but having something that supports your hair, improves the texture, and smells fantastic, was worth it to me. I'm now quite confident in what I'm using and plan to go on using it, regardless of the cost. I'd pay 5x what I'm paying for it now, I love it so much. And their treatment spray is oil based. I use the system twice a day and I'm shocked at how long it is lasting. It has truly been an excellent investment.I would recommend that you shampoo and condition your hair twice a day if you want to see regrowth with any system. This is because one application of shampoo with DHT-fighting ingredients, can only do so much. Your body is constantly generating new hormones and new DHT. By helping to combat it twice a day, you have a better chance of seeing results sooner. This is coming from a 36 year old woman who has been fighting repeated hair loss due to hormonal imbalance from 16 on. Once a day just never cut it for me. Using a leave on treatment like Just Naturals has overnight, can also work wonders. I use it during the day too if I'm not going out.I hope this helps you recover your hair, and your self-esteem, a little faster and more efficiently. :o)",2.0,"Industrial strength degreaser. ""Fullness"" is caused by stripping oils and making hair fluffy",1401840000,"06 4, 2014"
AC1RJK3LSF4RQ,B00004TMFE,yay socks!,"[0, 0]",This is thick and kind of difficult to spread throughout hair and doesn't smell that great. I've also not noticed any benefits one way or another. I'll not be buying this again.,3.0,"Noticed no results, smell is not so good",1356825600,"12 30, 2012"
A1D94IJBAPKVYV,B00004TUBL,Amazon Customer,"[0, 0]","We had a bunch of bottles that were always being knocked over.  It was also annoying to move them all for cleaning under.  Now we just have this mounted on the shower stall wall.  It is easy to keep clean and operates well.  The only difficult thing is that you have to pour products from one container to another, an extra chore, but worth it to me.",5.0,Makes neat work of a bunch of bottles.,1373846400,"07 15, 2013"
A2E6150RHKGSIR,B00004TUBL,Amazon Customer,"[0, 0]","Works great.  Wish it had 6dispensers then I and my hubbycould use it with all our products.Probably will just add the 2 chamberone also. We stuck this one on withthe enclosed caulk and left it 24hours before filling. Stuck on great.I put soap, lotion, shampoo, andconditioner in. It primed easy, and isa solid piece...and I'm picky....Great!!",5.0,Soap Dispenser,1293926400,"01 2, 2011"
A3B7900K4X1AY5,B00004TUBL,"Ana Luiza Welch ""TIPSY GIPSY""","[4, 4]","I bought this for my husband's bathroom and he just loved it. Less shampoo bottles in his way, get the right amount of shampoo all the time... Now we'll get another one for our boat. Very practical. Excelent!",5.0,Boat is next!,1180137600,"05 26, 2007"
